,,,,,,
Date,High,Low,Open,Close,Volume,Adj Close
2012-11-15,31.440000534057600,30.5,31.299999237060500,30.81999969482420,984000,30.81999969482420
2012-11-16,32.0,30.59000015258790,31.149999618530300,31.84000015258790,908700,31.84000015258790
2012-11-19,33.25,31.84000015258790,32.06999969482420,32.91999816894530,1392400,32.91999816894530
2012-11-20,33.099998474121100,31.90999984741210,32.79999923706060,33.0,922500,33.0
2012-11-21,33.470001220703100,32.290000915527300,32.61000061035160,32.470001220703100,963200,32.470001220703100
2012-11-23,32.83000183105470,31.700000762939500,32.599998474121100,32.130001068115200,430300,32.130001068115200
2012-11-26,32.29999923706060,31.6200008392334,32.099998474121100,32.27000045776370,495800,32.27000045776370
2012-11-27,32.65999984741210,31.520000457763700,32.130001068115200,32.150001525878900,910800,32.150001525878900
2012-11-28,34.290000915527300,31.90999984741210,32.0,33.22999954223630,1525200,33.22999954223630
2012-11-29,34.0,32.869998931884800,33.439998626709000,33.689998626709000,1103400,33.689998626709000
2012-11-30,34.279998779296900,33.0099983215332,33.630001068115200,33.81999969482420,1420300,33.81999969482420
2012-12-03,35.0,33.5,33.88999938964840,34.619998931884800,2085700,34.619998931884800
2012-12-04,34.79999923706060,33.54999923706060,34.08000183105470,33.900001525878900,1263300,33.900001525878900
2012-12-05,34.189998626709000,33.58000183105470,33.81999969482420,33.709999084472700,661500,33.709999084472700
2012-12-06,34.79999923706060,33.5,33.81999969482420,33.900001525878900,660400,33.900001525878900
2012-12-07,34.4900016784668,33.849998474121100,34.29999923706060,34.16999816894530,664400,34.16999816894530
2012-12-10,34.79999923706060,34.18000030517580,34.43000030517580,34.56999969482420,929800,34.56999969482420
2012-12-11,35.5,34.459999084472700,34.599998474121100,35.279998779296900,1572600,35.279998779296900
2012-12-12,35.79999923706060,34.95000076293950,35.209999084472700,35.2599983215332,2063800,35.2599983215332
2012-12-13,35.29999923706060,32.75,35.2599983215332,33.61000061035160,2151300,33.61000061035160
2012-12-14,34.400001525878900,33.59000015258790,33.779998779296900,33.810001373291000,1023000,33.810001373291000
2012-12-17,34.5,33.75,33.77000045776370,34.400001525878900,824900,34.400001525878900
2012-12-18,35.06999969482420,34.2599983215332,34.2599983215332,34.59000015258790,1553900,34.59000015258790
2012-12-19,35.2599983215332,34.52000045776370,34.75,34.61000061035160,1298800,34.61000061035160
2012-12-20,34.790000915527300,34.04999923706060,34.5099983215332,34.43000030517580,921200,34.43000030517580
2012-12-21,34.16999816894530,33.58000183105470,33.939998626709000,34.0,1492400,34.0
2012-12-24,34.349998474121100,33.54999923706060,33.63999938964840,34.279998779296900,375800,34.279998779296900
2012-12-26,34.5,33.5,33.959999084472700,33.59000015258790,601400,33.59000015258790
2012-12-27,33.90999984741210,33.0,33.5,33.689998626709000,561100,33.689998626709000
2012-12-28,33.650001525878900,33.02000045776370,33.380001068115200,33.220001220703100,414100,33.220001220703100
2012-12-31,33.970001220703100,33.0,33.0,33.869998931884800,594900,33.869998931884800
2013-01-02,35.45000076293950,34.709999084472700,35.0,35.36000061035160,1194800,35.36000061035160
2013-01-03,35.45000076293950,34.75,35.18000030517580,34.77000045776370,742000,34.77000045776370
2013-01-04,34.79999923706060,33.91999816894530,34.79999923706060,34.400001525878900,674000,34.400001525878900
2013-01-07,34.79999923706060,33.900001525878900,34.79999923706060,34.34000015258790,442000,34.34000015258790
2013-01-08,34.5,33.11000061035160,34.5,33.68000030517580,1284000,33.68000030517580
2013-01-09,34.189998626709000,33.400001525878900,34.0099983215332,33.63999938964840,698000,33.63999938964840
2013-01-10,33.9900016784668,33.380001068115200,33.869998931884800,33.529998779296900,922500,33.529998779296900
2013-01-11,34.040000915527300,32.11000061035160,34.040000915527300,32.90999984741210,1563200,32.90999984741210
2013-01-14,33.380001068115200,32.849998474121100,33.08000183105470,33.2599983215332,925100,33.2599983215332
2013-01-15,34.25,33.08000183105470,33.11000061035160,33.900001525878900,1624200,33.900001525878900
2013-01-16,34.22999954223630,33.72999954223630,33.849998474121100,34.099998474121100,1378200,34.099998474121100
2013-01-17,34.849998474121100,33.91999816894530,34.15999984741210,34.380001068115200,1436700,34.380001068115200
2013-01-18,34.779998779296900,33.81999969482420,34.7400016784668,34.52000045776370,3555100,34.52000045776370
2013-01-22,35.54999923706060,34.2599983215332,34.560001373291000,35.189998626709000,1920200,35.189998626709000
2013-01-23,36.2400016784668,34.959999084472700,35.02000045776370,36.0,1564300,36.0
